Name
Axia - für axiale Spondyloarthritis (axSpA)
Cara Care für Reizdarm
Endo-App
HelloBetter Chronische Schmerzen
HelloBetter Diabetes
HelloBetter Panik
HelloBetter Schlafen
HelloBetter Stress und Burnout
HelloBetter Vaginismus Plus
INKA
Invirto - Die Therapie gegen Angst
Kaia Rückenschmerzen - Rückentraining für Zuhause
Kalmeda
Kranus Edera
Kranus Lutera
Kranus Mictera
Mawendo
Meine Tinnitus App - Das digitale Tinnitus Counseling
Mindable: Panik & Agoraphobie
Mindable: Soziale Phobie
My7steps App
NeuroNation MED
NichtraucherHelden-App
Novego: Depressionen bewältigen
Novego: Ängste überwinden
ORIKO ADHS-Therapie
Oviva Direkt Bluthochdruck
Oviva Direkt für Adipositas 
PINK! Coach
ProHerz
Selfapys Online-Kurs bei Binge-Eating-Störung
Selfapys Online-Kurs bei Bulimia Nervosa
Selfapys Online-Kurs bei Depression
Selfapys Online-Kurs bei Generalisierter Angststörung
Smoke Free - Rauchen aufhören
Una Health für Diabetes
Untire®
Uroletics
Vera-App für Wechseljahresbeschwerden
Vitadio
Vivira
attexis - die digitale Therapie bei ADHS im Erwachsenenalter
companion patella powered by medi - proved by Dt. Kniegesellschaft
companion® shoulder
deprexis
eCovery - Therapie bei Schmerzen im unteren Rücken
edupression.com®
elevida
elona explore – für die mentale Gesundheit
elona therapy Depression
glucura Diabetestherapie
hiToco®: ADHS Elterntraining
levidex
memodio
neolexon Aphasie
priovi - digitale Unterstützung der Borderline-Behandlung
somnio
somnovia
velibra
vorvida
zanadio
